,x,y,type,weight
880,1092,1165,junction,5.0
882,1093,1085,endpt,4.0
883,1094,993,endpt,2.0
884,1094,1200,endpt,2.0
885,1095,607,endpt,1.4142135
886,1095,783,endpt,2.0
887,1095,977,junction,10.770329
889,1096,752,endpt,2.0
891,1096,1053,endpt,3.1622777
893,1096,1157,junction,6.0
894,1096,1238,endpt,5.3851647
895,1097,410,endpt,4.0
896,1097,509,endpt,2.0
898,1097,1128,endpt,3.0
900,1098,459,endpt,3.0
901,1099,782,endpt,2.828427
902,1099,960,junction,11.045361
903,1101,473,endpt,2.0
904,1101,492,endpt,2.0
905,1102,1107,endpt,7.0
906,1103,443,endpt,3.1622777
907,1103,826,endpt,3.1622777
908,1104,489,endpt,1.0
909,1104,1215,endpt,3.6055512
910,1105,463,endpt,2.0
911,1105,1252,endpt,3.1622777
912,1106,531,endpt,4.0
913,1106,827,endpt,3.0
914,1106,885,junction,11.0
915,1106,1063,junction,5.0
916,1107,915,junction,9.0
917,1108,796,endpt,2.0
918,1108,874,junction,11.045361
920,1110,895,junction,10.0
922,1111,416,endpt,1.4142135
923,1111,620,endpt,2.0
925,1111,1014,endpt,5.0990195
926,1112,438,endpt,4.0
927,1112,541,endpt,3.1622777
928,1112,556,endpt,4.472136
929,1112,611,endpt,2.828427
930,1112,1180,junction,6.4031243
931,1113,419,endpt,1.0
932,1113,1059,endpt,3.0
933,1113,1230,endpt,2.236068
934,1115,456,endpt,3.0
935,1115,469,endpt,3.1622777
936,1115,474,endpt,4.0
937,1115,698,endpt,2.828427
939,1116,661,endpt,8.062258
941,1116,1032,endpt,5.0
942,1116,1161,junction,5.0
944,1117,750,junction,6.4031243
946,1117,872,junction,10.198039
949,1119,507,endpt,4.0
950,1119,575,endpt,7.615773
951,1120,726,endpt,3.1622777
952,1120,1179,endpt,4.0
953,1121,1076,endpt,6.3245554
954,1122,836,junction,10.29563
955,1122,1209,endpt,5.0
957,1122,1237,endpt,3.1622777
958,1123,639,endpt,3.0
959,1123,686,endpt,3.0
961,1124,1078,endpt,7.28011
962,1125,931,junction,10.816654
963,1125,1110,endpt,7.2111025
964,1126,838,junction,11.18034
965,1128,1236,endpt,3.1622777
966,1129,616,endpt,4.0
967,1129,719,endpt,3.6055512
968,1129,895,junction,7.0
969,1129,978,endpt,4.0
970,1130,446,endpt,2.236068
972,1132,1018,endpt,3.0
973,1134,659,endpt,2.0
974,1134,814,junction,4.0
977,1136,532,endpt,2.0
978,1136,636,endpt,4.0
980,1139,663,endpt,2.0
981,1139,725,junction,8.0
982,1139,1164,endpt,6.0827627
983,1141,1038,endpt,1.0
985,1142,987,junction,8.944272
987,1143,510,endpt,5.8309517
989,1143,795,junction,9.0
991,1144,478,endpt,3.1622777
993,1146,614,junction,5.8309517
994,1146,749,junction,8.944272
996,1146,1086,endpt,5.0
997,1147,549,endpt,5.0
1000,1148,606,endpt,2.0
1001,1148,680,endpt,7.0
1002,1148,700,endpt,2.0
1003,1148,834,junction,11.18034
1004,1148,874,endpt,9.0
1005,1148,1237,endpt,2.0
1006,1149,648,endpt,4.472136
1007,1149,918,junction,8.0
1009,1150,564,endpt,5.0
1010,1150,619,junction,6.708204
1013,1150,1065,endpt,4.0
1015,1151,782,junction,8.5440035
1018,1152,803,endpt,1.4142135
1019,1152,861,endpt,6.708204
1020,1152,1232,endpt,2.236068
1021,1153,1044,endpt,2.0
1022,1155,481,endpt,2.828427
1023,1155,633,endpt,2.236068
1024,1157,1009,endpt,3.0
1025,1159,531,endpt,2.828427
1026,1159,698,endpt,2.828427
1027,1159,833,junction,11.0
1028,1159,1054,endpt,4.0
1030,1160,615,endpt,2.236068
1031,1160,661,endpt,3.0
1033,1161,1048,endpt,4.0
1034,1162,1013,endpt,7.0
1035,1163,730,endpt,2.0
1036,1163,985,endpt,2.0
1037,1167,911,endpt,2.0
1038,1167,922,junction,6.0
1041,1173,930,endpt,2.0
1042,1174,879,endpt,4.0
1043,1175,801,junction,5.0
1044,1178,664,endpt,3.0
1046,1179,875,endpt,3.1622777
1047,1182,726,endpt,5.0
1049,1185,678,endpt,2.236068
1051,1186,830,endpt,4.0
1052,1190,747,endpt,5.0
1053,1192,626,endpt,2.0
1054,1192,763,endpt,5.3851647
1055,1200,850,endpt,2.0
1056,1204,817,junction,6.0
1057,1205,813,endpt,5.0
1060,1209,788,endpt,3.1622777
1061,1212,823,endpt,2.0
1062,1215,769,endpt,3.0
1063,1217,697,endpt,2.828427
1065,1218,758,endpt,3.6055512
